cluster,n,n_collapse,collapse_rate,repair_failure_n,tone_degradation_n,specificity_collapse_n
0,258,230,89.14728682170544,226,25,0
1,126,37,29.365079365079367,23,16,5
2,366,89,24.316939890710383,86,3,0
3,111,78,70.27027027027027,72,1,5
4,2,1,50.0,1,0,0
