cluster,n,n_collapse,collapse_rate,repair_failure_n,tone_degradation_n,specificity_collapse_n
0,25,16,64.0,13,1,2
1,131,114,87.02290076335878,114,5,0
2,81,23,28.39506172839506,17,11,0
3,161,47,29.19254658385093,44,3,0
